Local authority code,Local authority name,LSOA code,LSOA name,median_house_price,Employment (walking),Education (walking),Healthcare (walking),Leisure and Community (walking),Shopping (walking),Residential (walking),Overall (walking),Employment (cycling),Education (cycling),Healthcare (cycling),Leisure and Community (cycling),Shopping (cycling),Residential (cycling),Overall (cycling),Business (public transport),Education (public transport),Healthcare (public transport),Leisure and Community (public transport),Shopping (public transport),Residential (public transport),Overall (public transport),Employment (driving),Education (driving),Healthcare (driving),Leisure and Community (driving),Shopping (driving),Residential (driving),Overall (driving),Employment (overall),Education (overall),Healthcare (overall),Leisure and Community (overall),Shopping (overall),Residential (overall),Overall,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E08000033,Calderdale,E01010977,Calderdale 016D,170000,51.0,60.92,47.62,57.59,65.57,69.02,62.58,62.14,76.93,64.22,69.79,74.97,70.94,69.0,58.41,73.07,60.91,64.12,72.25,60.82,65.87,81.78,86.47,84.29,87.52,90.17,90.73,88.52,57.55,67.31,55.63,61.74,69.49,65.86,64.92,7.461,0.097,0.065,6.504,-0.495,-0.894,12.268,28.16,0.171,0.048,-0.652,0.169,35.071,-2.359,0.508,-0.092
E08000033,Calderdale,E01010978,Calderdale 017C,154000,41.56,67.3,51.68,58.78,80.03,63.11,67.02,58.46,72.33,64.31,69.65,88.72,67.97,68.72,58.54,77.11,62.07,67.53,81.65,61.04,69.57,81.29,86.3,80.25,85.08,92.25,90.42,88.23,55.01,72.15,58.01,63.92,81.4,63.01,68.6,23.495,0.23,0.133,20.204,0.276,0.495,10.02,51.613,0.323,0.146,0.493,0.204,31.34,-2.185,1.145,-0.072
E08000033,Calderdale,E01010979,Calderdale 017D,83250,43.63,66.43,63.66,65.93,90.28,64.14,71.98,58.8,73.59,69.82,71.02,94.45,68.08,70.3,60.79,78.34,68.89,70.65,88.06,62.69,72.98,82.07,89.13,86.52,86.99,95.24,91.17,90.39,56.96,72.28,67.04,68.64,89.51,64.26,72.49,38.469,0.338,0.242,29.453,1.293,1.297,9.185,36.763,0.575,0.298,0.752,0.265,27.442,-1.465,0.537,0.747
E08000033,Calderdale,E01010980,Calderdale 017E,140000,44.58,77.94,58.07,66.22,87.44,65.95,74.4,59.84,77.91,67.1,74.91,92.18,69.29,71.66,60.48,81.58,66.22,72.62,86.72,62.88,73.31,81.59,91.11,81.29,88.88,93.9,90.68,90.19,57.13,79.94,63.1,70.03,87.45,65.28,73.74,32.291,0.27,0.178,25.042,0.7,0.787,9.499,67.989,0.387,0.253,0.678,0.229,26.268,-1.096,1.471,0.274
E08000033,Calderdale,E01010981,Calderdale 017F,128000,47.32,71.79,54.35,62.86,80.63,67.42,70.51,60.99,78.13,67.72,72.25,87.7,69.98,71.11,60.1,79.3,65.37,69.84,82.94,62.31,71.34,82.09,90.79,85.29,89.71,93.9,91.09,90.7,57.65,75.76,61.06,67.02,82.26,65.74,71.11,28.954,0.253,0.187,29.792,0.451,0.512,10.352,52.4,0.393,0.168,0.935,0.235,28.893,-1.29,1.074,0.385
E08000033,Calderdale,E01010982,Calderdale 013A,150000,38.18,62.92,48.4,78.31,85.8,58.72,69.99,42.87,72.42,53.35,85.92,91.93,56.81,63.8,60.22,67.66,57.24,71.06,83.14,61.12,69.25,76.84,77.52,68.03,90.12,94.9,86.81,87.13,53.14,65.81,53.6,75.34,84.9,60.12,69.23,25.462,0.22,0.135,12.8,0.103,0.431,22.314,66.783,0.379,0.112,-0.268,0.216,31.053,2.008,1.482,0.095
E08000033,Calderdale,E01010983,Calderdale 013B,157000,38.97,62.1,56.21,83.93,94.04,59.33,73.71,43.61,71.45,57.54,87.46,95.83,57.42,65.01,65.46,70.19,65.98,77.14,90.61,65.58,74.82,77.59,78.17,72.53,92.82,97.38,87.53,88.98,56.79,66.41,61.82,80.87,92.55,62.53,73.72,36.295,0.331,0.199,20.651,0.514,1.229,13.486,73.158,0.455,0.237,0.284,0.241,26.573,0.221,1.577,0.434
E08000033,Calderdale,E01010984,Calderdale 022D,131000,37.81,49.73,53.64,75.9,85.39,57.65,65.93,42.84,66.28,56.66,83.07,91.31,56.34,62.41,59.69,61.51,60.87,68.87,82.17,60.43,67.54,76.79,71.6,70.42,89.02,93.69,86.67,86.0,52.72,55.93,57.93,73.0,84.2,59.27,66.6,28.463,0.26,0.148,23.653,0.482,0.595,13.695,62.754,0.427,0.154,0.575,0.231,33.7,-1.162,1.498,-0.635
E08000033,Calderdale,E01010985,Calderdale 013C,170000,30.87,37.36,31.72,47.76,54.45,49.33,45.63,43.66,59.14,45.32,68.47,73.61,56.52,56.37,52.48,50.83,45.5,53.18,60.28,54.97,54.5,76.86,67.29,64.53,81.22,85.87,86.88,81.33,46.66,44.49,39.8,52.02,58.42,52.93,51.2,27.934,0.238,0.16,18.269,0.188,0.315,32.007,54.023,0.348,0.217,0.367,0.201,49.011,1.142,1.1,0.439
E08000033,Calderdale,E01010986,Calderdale 013D,110000,21.51,20.49,2.0,31.12,36.16,40.93,29.29,43.57,44.51,21.32,48.74,57.5,56.48,48.13,43.83,49.98,28.75,45.3,45.28,48.46,45.49,76.51,69.39,57.5,80.69,84.86,86.29,80.64,39.02,34.49,17.12,39.44,41.86,46.04,39.3,41.23,0.339,0.217,24.322,0.86,0.912,43.549,52.912,0.468,0.24,0.66,0.224,60.463,2.507,1.188,-0.17
E08000033,Calderdale,E01010987,Calderdale 013E,175000,35.45,54.01,33.18,63.11,69.16,55.58,58.6,42.62,67.72,45.97,78.24,81.31,56.02,59.88,54.37,62.4,47.01,63.05,71.28,56.91,61.58,76.55,75.92,64.83,87.73,92.19,86.54,85.39,48.75,58.63,41.28,64.25,70.94,56.65,60.36,26.662,0.216,0.154,9.621,0.659,0.519,25.952,52.602,0.317,0.166,-0.401,0.19,39.751,1.293,1.059,0.473
E08000033,Calderdale,E01010988,Calderdale 013F,167500,34.14,52.76,31.98,58.62,66.4,54.55,56.3,42.36,69.17,46.74,78.69,82.96,55.86,60.3,51.17,58.62,43.25,57.53,66.91,53.98,57.6,75.23,70.33,60.08,81.45,86.15,85.34,81.0,46.37,56.44,38.76,59.63,67.58,54.79,57.4,34.496,0.339,0.221,24.114,0.694,0.682,30.429,36.345,0.477,0.278,0.406,0.262,42.743,1.861,0.837,-0.469
E08000033,Calderdale,E01010989,Calderdale 018A,121000,60.97,46.86,63.48,69.68,78.63,69.84,66.94,65.69,71.77,76.8,84.86,85.36,73.87,74.45,65.1,69.02,74.26,73.91,81.02,66.81,72.0,82.47,78.3,90.03,91.31,94.16,91.22,90.14,64.56,57.93,70.11,72.93,80.29,69.27,70.29,30.615,0.251,0.211,14.9,0.814,0.676,10.595,56.216,0.293,0.221,-0.102,0.223,29.627,-1.371,1.076,0.746
E08000033,Calderdale,E01010990,Calderdale 018B,145000,44.43,31.18,26.56,36.05,43.21,58.6,41.2,65.95,64.19,58.11,64.77,68.86,73.87,67.29,56.22,55.03,47.4,48.97,54.9,57.32,54.59,83.21,78.8,79.49,82.74,85.63,91.57,85.54,55.22,43.31,39.08,44.61,50.43,59.7,50.34,21.563,0.247,0.148,24.131,0.299,-0.05,22.312,19.332,0.419,0.184,0.511,0.247,49.738,-2.734,0.19,-0.285
E08000033,Calderdale,E01010991,Calderdale 018C,156000,47.36,24.53,28.1,34.47,43.55,58.19,39.64,65.82,61.1,59.12,68.92,72.42,74.23,68.12,57.95,53.45,49.16,52.49,58.21,59.55,56.49,81.64,71.79,76.73,81.32,85.39,90.18,83.76,56.97,38.98,40.72,45.97,52.42,60.58,50.78,18.74,0.167,0.114,20.019,0.233,0.034,22.373,33.322,0.321,0.114,0.379,0.22,49.212,-2.479,0.707,-0.191
E08000033,Calderdale,E01010992,Calderdale 018D,128000,54.91,53.81,58.51,47.16,63.08,65.51,58.65,64.93,73.65,73.02,72.61,76.26,72.58,70.73,61.84,68.4,69.19,61.78,69.04,63.28,65.48,82.82,77.4,87.86,86.23,90.03,91.47,87.75,61.02,61.41,65.11,56.3,66.83,65.53,63.28,21.759,0.226,0.122,24.253,0.435,0.449,13.056,35.815,0.372,0.195,0.381,0.267,36.789,-2.709,0.809,-0.349
E08000033,Calderdale,E01010993,Calderdale 018E,130000,50.65,58.9,52.64,38.45,57.13,63.38,55.64,64.73,73.81,69.73,65.78,70.07,72.18,68.46,61.87,72.4,70.72,62.14,69.62,63.45,66.43,82.7,77.37,85.85,81.98,86.64,91.4,85.7,60.05,65.8,63.28,52.19,64.14,64.61,62.39,37.608,0.367,0.191,44.73,0.867,1.399,18.577,33.922,0.493,0.293,1.237,0.325,37.574,-0.425,0.55,0.436
E08000033,Calderdale,E01010994,Calderdale 008E,108500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000033,Calderdale,E01010995,Calderdale 012E,115000,63.09,73.38,68.39,82.82,87.55,75.56,80.19,65.81,85.24,80.89,91.88,92.26,75.05,78.78,64.19,82.68,78.34,81.66,90.34,66.65,77.74,81.77,85.27,89.02,93.57,95.42,90.53,91.44,64.47,78.41,74.57,82.95,89.32,71.91,78.94,55.628,0.492,0.31,48.305,1.553,0.663,16.595,75.25,0.505,0.655,0.144,0.47,20.995,1.686,1.569,0.675
E08000033,Calderdale,E01010996,Calderdale 014A,82500,62.4,78.34,66.25,82.29,87.54,76.12,81.31,65.76,89.89,79.97,92.23,91.92,75.23,79.4,62.73,84.44,75.5,79.79,89.87,65.32,76.96,81.84,88.49,88.51,93.63,95.88,90.65,91.93,63.37,82.01,72.09,81.83,89.07,71.56,79.03,50.78,0.49,0.27,58.22,0.762,0.814,15.165,73.601,0.593,0.476,0.507,0.519,20.885,1.311,1.752,0.078
E08000033,Calderdale,E01010997,Calderdale 009C,213500,46.34,57.39,37.43,43.78,57.18,68.62,55.57,62.88,81.05,64.96,76.49,79.73,73.33,71.98,54.78,71.77,51.52,55.85,64.04,57.78,60.56,79.9,81.66,76.97,82.33,87.85,89.02,85.21,54.29,65.13,46.22,52.22,61.84,64.44,59.58,11.085,0.132,0.087,9.507,-0.547,-0.49,17.258,29.916,0.237,0.058,-0.58,0.203,40.54,-1.882,0.563,-0.061
E08000033,Calderdale,E01010998,Calderdale 010C,120000,55.85,72.86,64.09,64.97,78.46,74.91,72.91,64.75,88.9,76.85,85.32,87.03,74.94,76.83,58.03,80.95,68.12,67.74,80.55,61.2,70.06,80.54,87.56,84.99,88.03,93.67,89.51,89.36,58.76,77.59,67.07,67.9,80.06,69.06,71.86,37.528,0.477,0.207,33.06,0.369,1.178,14.214,39.326,0.718,0.258,0.447,0.34,28.143,0.21,0.868,-0.173
E08000033,Calderdale,E01010999,Calderdale 009D,156000,50.62,62.58,54.31,51.28,69.35,71.86,63.54,64.13,86.28,73.23,81.29,85.7,74.55,75.24,56.42,76.51,61.42,61.43,73.57,59.55,65.67,80.18,85.52,82.32,85.38,92.4,89.24,87.96,56.47,70.16,59.12,58.57,72.4,66.86,65.7,19.548,0.289,0.128,19.375,-0.123,0.056,15.7,26.791,0.517,0.122,-0.061,0.268,34.226,-0.546,0.471,-0.148
E08000033,Calderdale,E01011000,Calderdale 010D,88000,58.64,77.07,64.74,71.37,79.66,75.95,76.07,65.24,90.29,78.34,88.62,88.08,75.18,77.98,59.23,82.2,70.46,70.95,82.23,62.06,71.73,80.76,86.57,85.79,89.75,93.68,89.67,89.74,60.21,80.4,68.66,72.49,81.5,69.95,74.09,48.711,0.524,0.238,60.635,0.409,0.778,13.889,70.035,0.659,0.277,0.929,0.48,25.903,0.433,1.498,0.408
E08000033,Calderdale,E01011001,Calderdale 014B,90000,61.01,73.79,62.09,77.02,84.31,75.9,77.8,65.48,88.61,78.15,90.68,90.34,75.09,78.55,60.79,81.11,71.38,74.89,86.85,63.35,73.96,81.44,88.17,87.15,92.83,95.21,90.23,91.31,61.78,78.13,68.01,77.03,86.01,70.52,75.98,54.469,0.61,0.266,63.156,0.765,0.398,15.484,66.975,0.697,0.6,0.649,0.548,23.939,1.12,1.44,0.26
E08000033,Calderdale,E01011002,Calderdale 014C,100000,58.91,80.65,62.75,73.97,82.44,75.92,78.28,65.46,92.5,79.28,89.82,90.28,75.26,78.96,60.37,83.93,71.16,73.9,85.38,63.15,73.75,81.41,89.97,87.24,91.57,94.6,90.29,91.06,61.04,83.14,68.22,75.15,84.43,70.45,76.1,42.036,0.449,0.226,38.636,0.616,0.679,11.57,72.733,0.602,0.201,0.378,0.386,23.84,-0.014,1.547,0.502
E08000033,Calderdale,E01011003,Calderdale 014D,82500,60.89,81.87,67.05,81.04,89.38,76.36,82.43,65.59,91.06,80.97,91.16,93.05,75.14,79.5,61.87,85.42,74.65,78.67,90.88,64.56,76.85,81.67,89.18,88.55,92.69,96.02,90.52,91.79,62.46,84.35,72.01,80.66,90.45,71.3,79.42,63.474,0.588,0.318,62.213,1.213,1.513,13.304,74.626,0.733,0.465,1.028,0.478,20.509,0.814,1.614,0.491
E08000033,Calderdale,E01032923,Calderdale 008F,110000,60.63,52.88,62.0,78.81,87.46,69.22,72.64,65.15,68.07,73.56,86.31,91.11,74.1,74.87,64.06,72.45,71.72,78.85,87.86,66.84,74.68,82.14,81.76,83.82,92.08,96.5,90.7,90.91,63.75,62.36,67.98,79.41,87.98,69.02,74.01,44.884,0.415,0.26,41.14,1.288,0.582,18.09,57.566,0.573,0.39,1.063,0.325,26.027,1.596,1.211,0.268
E08000034,Kirklees,E01011004,Kirklees 040A,140000,46.2,55.11,53.65,61.48,80.42,69.45,65.74,62.78,65.98,65.78,74.52,88.97,73.98,71.16,56.96,64.47,62.3,66.94,78.86,60.62,66.14,81.41,78.05,76.32,84.05,92.75,90.61,87.15,55.64,60.01,59.04,65.16,80.18,66.21,66.49,50.782,0.477,0.337,45.305,1.459,1.363,18.744,12.785,0.653,0.335,0.931,0.374,33.411,0.595,-0.079,-0.45
E08000034,Kirklees,E01011005,Kirklees 044A,198750,44.56,41.29,51.16,56.29,77.22,67.46,59.6,61.78,58.2,63.04,68.52,85.3,73.04,67.97,56.63,62.39,60.67,64.09,77.05,60.42,64.71,81.62,76.2,77.09,83.67,93.42,90.86,87.19,54.93,51.45,56.99,61.07,77.66,65.12,63.04,11.242,0.112,0.1,10.729,-0.064,0.13,12.843,13.634,0.229,0.057,-0.415,0.205,36.911,-2.93,-0.284,0.178
E08000034,Kirklees,E01011006,Kirklees 040B,233340,51.61,52.5,58.77,60.54,76.21,73.44,65.01,64.25,69.4,68.58,76.23,85.6,75.3,72.16,60.01,66.82,66.43,67.65,78.57,62.7,67.84,81.61,77.34,77.98,83.19,91.38,90.81,86.64,59.01,59.83,63.56,65.24,77.98,69.11,67.17,18.865,0.198,0.113,24.597,0.235,0.441,11.777,27.326,0.281,0.151,0.574,0.242,32.817,-1.746,0.392,0.175
E08000034,Kirklees,E01011007,Kirklees 042A,148500,60.3,49.37,60.52,68.38,84.7,77.41,69.78,65.81,69.47,72.34,79.37,89.64,76.61,74.21,65.01,70.72,71.73,74.4,86.44,66.33,73.57,82.33,79.66,82.82,87.16,95.21,91.57,89.36,64.37,59.85,67.31,72.19,85.95,72.73,72.23,17.492,0.179,0.114,7.421,-0.074,0.657,8.335,42.003,0.388,0.144,-0.558,0.175,27.754,-1.963,0.786,0.511
E08000034,Kirklees,E01011008,Kirklees 040C,135000,56.97,55.13,66.08,69.03,86.13,76.64,71.55,65.36,74.06,73.86,81.79,92.11,76.49,75.45,63.36,71.57,72.96,74.16,86.53,65.2,73.15,82.13,79.24,81.52,86.22,94.68,91.3,88.81,62.51,63.48,70.42,72.53,86.76,71.84,72.82,28.127,0.274,0.138,24.583,0.562,0.724,9.092,58.294,0.469,0.135,0.563,0.243,27.094,-1.433,1.2,0.402
E08000034,Kirklees,E01011009,Kirklees 044B,245000,46.48,58.82,56.28,58.38,71.66,68.76,63.66,63.24,68.11,62.68,75.01,83.68,74.38,70.85,54.65,63.4,58.81,62.95,72.22,58.82,62.67,81.43,80.26,78.19,84.94,93.02,90.79,87.77,54.29,61.61,58.18,61.91,72.65,65.08,63.82,18.34,0.183,0.137,9.983,0.271,0.568,15.347,25.378,0.311,0.09,-0.343,0.189,36.097,-1.215,0.497,-0.501
E08000034,Kirklees,E01011010,Kirklees 044C,158000,50.32,61.76,61.74,62.71,77.97,72.14,68.21,64.42,73.19,68.93,79.8,89.63,75.66,74.03,57.04,67.05,64.27,67.29,77.91,60.68,66.5,81.66,80.21,79.46,85.62,94.43,90.94,88.46,56.84,64.98,63.7,66.28,78.64,67.61,67.9,44.091,0.458,0.235,54.372,0.951,1.462,17.584,26.691,0.649,0.266,1.639,0.329,32.054,0.517,0.521,-0.381
E08000034,Kirklees,E01011011,Kirklees 044D,257500,48.52,48.12,52.88,50.98,62.78,69.66,57.06,63.53,67.78,64.09,72.65,79.93,74.57,69.98,55.67,63.1,56.96,59.36,65.89,59.15,60.71,80.85,75.4,76.14,80.79,88.8,90.26,84.84,55.44,55.85,55.77,56.77,65.29,65.66,60.09,7.069,0.059,0.061,4.446,-0.74,-0.121,17.422,25.54,0.169,0.034,-0.714,0.139,39.81,-1.539,0.309,0.203
E08000034,Kirklees,E01011012,Kirklees 040D,160000,47.83,44.72,60.31,58.65,82.6,70.91,63.73,63.47,63.11,69.09,73.73,88.89,74.51,71.04,60.31,66.62,69.2,69.44,83.38,63.28,69.55,82.1,77.06,80.4,84.69,94.18,91.26,88.04,58.25,55.32,65.74,65.11,83.43,68.16,67.46,23.241,0.263,0.146,27.548,0.582,0.424,12.77,21.746,0.392,0.193,0.735,0.247,32.397,-1.175,0.177,0.091
E08000034,Kirklees,E01011013,Kirklees 007A,237500,49.05,40.11,37.05,49.43,60.33,66.24,52.96,68.06,66.17,61.88,68.98,74.57,77.04,70.47,65.08,66.49,55.42,60.73,67.36,64.64,65.13,85.57,77.09,79.88,84.15,89.29,93.25,87.49,62.23,53.0,48.05,56.49,64.67,66.87,60.8,14.685,0.179,0.107,15.83,-0.198,-0.569,24.763,15.907,0.353,0.096,-0.222,0.246,39.151,1.093,-0.176,0.235
E08000034,Kirklees,E01011014,Kirklees 007B,109500,55.32,48.5,64.64,67.91,83.61,71.0,67.93,67.7,66.48,74.67,77.98,85.64,76.72,73.8,67.78,70.16,71.31,70.2,85.55,67.79,73.55,84.35,75.35,84.27,84.66,90.11,92.01,87.44,65.3,59.0,68.94,69.81,84.82,70.49,71.44,37.416,0.419,0.205,40.054,0.709,0.642,23.106,41.397,0.635,0.287,0.479,0.386,28.597,2.563,0.847,0.201
E08000034,Kirklees,E01011015,Kirklees 010A,:,57.14,64.08,76.65,80.25,88.12,74.8,76.82,68.26,82.44,84.69,89.04,91.51,77.76,79.22,66.39,80.46,81.63,79.56,90.51,66.63,77.88,84.69,87.62,95.22,93.22,95.84,92.28,92.9,64.9,72.43,80.04,80.59,89.62,71.77,77.69,45.105,0.471,0.252,54.755,1.008,0.762,22.534,36.304,0.587,0.493,0.358,0.506,22.292,3.084,0.678,0.297
E08000034,Kirklees,E01011016,Kirklees 013A,116000,57.34,58.51,69.65,76.41,84.83,73.44,73.26,67.97,77.48,80.76,86.39,91.43,77.29,77.87,68.35,76.28,75.41,75.67,87.8,68.46,76.39,84.8,87.27,92.46,92.58,96.05,92.42,92.69,66.16,67.45,73.53,76.82,86.78,71.97,75.38,38.819,0.417,0.189,41.936,0.711,0.48,21.103,60.337,0.555,0.487,0.06,0.431,24.589,2.531,1.152,0.82
E08000034,Kirklees,E01011017,Kirklees 013B,85000,57.77,67.06,83.17,80.64,86.33,76.21,77.66,68.59,86.5,88.88,91.87,92.72,78.42,80.7,66.63,81.11,84.52,80.3,87.84,66.93,77.64,84.51,90.19,96.98,93.75,96.45,92.09,93.48,65.24,74.49,84.55,81.34,87.54,72.61,78.02,40.262,0.48,0.214,55.066,0.683,0.058,14.69,47.211,0.582,0.562,0.24,0.521,21.949,1.091,0.969,0.293
E08000034,Kirklees,E01011018,Kirklees 013C,165000,56.93,64.32,76.07,76.81,82.27,74.56,74.46,67.63,82.51,84.69,89.37,91.01,77.47,78.9,66.45,79.87,81.43,78.79,86.95,66.66,76.77,84.18,86.94,94.14,91.69,94.86,91.8,91.98,64.8,72.31,79.68,78.75,85.18,71.66,76.14,34.439,0.421,0.176,42.284,0.548,0.623,18.617,38.814,0.559,0.503,0.273,0.418,23.845,1.975,0.83,-0.037
E08000034,Kirklees,E01011019,Kirklees 013D,133250,57.39,57.55,63.43,74.5,84.94,72.91,72.39,67.17,74.65,76.32,84.93,91.35,76.52,76.74,67.23,74.95,71.93,74.58,87.65,67.07,75.37,84.34,86.51,90.75,91.46,95.86,91.95,92.07,65.34,66.23,68.82,75.34,86.76,71.02,74.41,26.48,0.308,0.119,30.475,0.153,0.013,15.221,59.756,0.509,0.316,-0.253,0.376,25.538,0.855,1.21,0.503
E08000034,Kirklees,E01011020,Kirklees 013E,:,57.43,62.74,68.04,77.3,84.77,73.57,74.5,66.52,75.64,76.17,85.32,89.67,76.1,76.33,66.62,78.45,76.23,77.78,88.84,66.67,76.7,84.03,86.43,91.63,91.48,95.38,91.67,91.86,64.87,70.5,73.11,78.15,87.19,71.09,75.92,40.822,0.508,0.222,47.803,0.717,0.467,27.407,23.0,0.619,0.529,0.246,0.457,24.019,4.019,0.434,-0.698
E08000034,Kirklees,E01011021,Kirklees 014A,181500,55.16,59.06,57.24,63.0,72.8,71.93,66.47,68.01,75.9,75.18,82.51,85.48,77.45,75.99,66.37,73.77,65.17,68.47,76.46,66.2,70.78,84.78,82.93,85.23,88.09,91.44,92.48,89.57,64.41,66.58,62.47,67.19,75.38,70.24,69.59,12.955,0.176,0.078,14.042,-0.232,-0.441,20.019,25.454,0.387,0.065,-0.459,0.247,30.357,1.504,0.242,0.351
E08000034,Kirklees,E01011022,Kirklees 014B,197500,55.89,59.81,60.1,67.97,76.11,72.56,68.83,67.45,76.41,75.67,83.58,87.43,77.03,76.28,67.18,74.62,67.62,70.39,78.43,67.13,72.14,84.44,83.51,86.65,89.09,92.95,92.14,90.24,65.01,67.36,65.04,70.36,77.96,70.93,71.27,16.141,0.176,0.087,22.714,-0.433,0.326,21.712,27.938,0.318,0.065,0.018,0.294,28.634,2.215,0.444,0.091
E08000034,Kirklees,E01011023,Kirklees 007C,170000,55.07,61.98,66.69,73.56,89.78,70.91,74.44,68.59,80.73,79.52,84.08,94.69,77.6,78.75,65.15,79.18,75.06,73.81,91.34,65.49,76.25,85.1,85.71,90.38,89.65,97.05,92.62,92.18,63.69,70.69,72.02,74.5,90.95,69.45,75.85,28.707,0.301,0.155,29.007,0.286,0.662,15.62,51.686,0.425,0.173,-0.056,0.353,24.172,1.14,0.957,0.794
E08000034,Kirklees,E01011024,Kirklees 007D,161497.5,54.08,45.69,60.45,64.66,80.41,69.24,65.11,67.87,66.62,72.55,77.07,85.08,76.61,73.61,65.47,68.08,67.5,66.69,82.29,65.23,70.75,84.42,75.33,84.48,84.9,92.14,92.03,88.11,63.57,56.64,65.01,66.61,81.71,68.48,68.85,36.825,0.473,0.196,43.73,0.661,0.754,22.195,19.733,0.701,0.302,0.799,0.379,31.133,1.96,0.253,-0.447
E08000034,Kirklees,E01011025,Kirklees 016A,140000,53.78,68.7,74.18,68.56,79.73,75.91,73.04,67.47,85.26,82.94,87.02,87.94,78.13,78.35,62.6,79.89,77.84,71.7,79.66,64.01,72.28,83.94,86.81,93.29,90.39,94.59,91.82,91.52,61.6,74.76,76.87,71.52,80.23,71.09,73.19,44.885,0.501,0.241,53.922,0.709,1.46,17.649,26.818,0.694,0.249,1.172,0.401,26.584,1.405,0.32,0.313
E08000034,Kirklees,E01011026,Kirklees 016B,145000,56.53,74.37,81.43,71.94,85.89,76.81,77.76,68.32,88.52,87.81,89.45,92.12,78.59,80.37,66.07,83.26,84.74,76.31,84.46,66.39,76.3,84.45,90.54,97.43,92.89,97.66,92.21,93.71,64.56,79.35,83.88,75.44,85.61,72.65,77.34,24.228,0.297,0.145,33.36,0.287,0.215,16.559,26.786,0.451,0.248,0.434,0.344,22.511,1.542,0.312,0.33
E08000034,Kirklees,E01011027,Kirklees 006A,157500,51.93,59.61,51.79,64.08,71.21,71.31,65.61,68.88,79.72,70.02,78.5,83.64,78.36,75.95,62.72,76.51,63.58,69.51,80.46,64.39,71.09,85.33,85.97,85.33,88.51,93.77,93.08,90.86,61.47,68.25,59.08,67.86,76.59,69.18,69.41,24.232,0.28,0.154,26.503,0.396,0.557,16.259,23.658,0.383,0.124,0.343,0.294,30.584,0.401,0.142,0.39
E08000034,Kirklees,E01011028,Kirklees 006B,143000,53.94,71.02,59.02,68.08,81.84,72.41,73.24,68.57,84.17,72.98,80.2,88.19,77.9,77.45,62.54,82.17,68.67,71.23,85.34,63.68,73.63,85.35,90.07,88.96,89.46,95.84,93.01,92.28,61.76,76.89,65.04,70.56,84.04,69.32,73.9,32.942,0.315,0.184,31.718,0.595,1.291,18.053,39.31,0.49,0.335,0.283,0.346,26.011,1.585,0.732,0.423
E08000034,Kirklees,E01011029,Kirklees 010B,:,55.29,67.03,70.42,75.56,89.63,72.54,76.47,68.46,82.51,79.14,83.57,91.83,77.63,78.39,64.46,81.56,77.13,75.73,90.86,65.12,76.66,85.1,88.32,91.13,89.93,95.74,92.64,92.17,63.27,74.45,74.73,76.26,90.49,70.03,76.85,65.201,0.58,0.354,65.442,1.535,1.929,23.137,33.202,0.651,0.506,1.321,0.457,23.029,3.179,0.109,1.361
E08000034,Kirklees,E01011030,Kirklees 006C,133750,52.63,65.55,51.13,63.87,73.53,71.61,67.96,68.22,80.8,68.4,77.01,82.56,77.56,75.29,61.53,78.76,63.72,69.12,80.04,63.19,70.85,85.0,86.3,85.88,87.5,93.5,92.72,90.51,60.77,72.38,58.81,67.46,77.36,68.69,70.17,45.607,0.52,0.232,59.678,1.013,0.998,23.101,16.112,0.698,0.416,1.293,0.421,29.795,2.399,0.021,-0.224
E08000034,Kirklees,E01011031,Kirklees 006D,195000,53.25,63.56,52.87,62.9,72.51,74.7,67.44,68.86,83.32,74.05,82.35,83.67,78.8,77.16,61.3,77.19,65.46,68.31,77.01,63.49,69.71,84.86,86.18,86.9,88.11,93.14,92.69,90.54,60.85,70.8,60.7,67.06,75.44,70.35,69.51,16.933,0.18,0.105,27.467,-0.091,0.474,17.068,14.046,0.281,0.079,0.536,0.278,30.412,0.672,-0.324,0.292
E08000034,Kirklees,E01011032,Kirklees 010C,137500,56.0,70.12,73.51,75.02,85.07,75.14,76.36,68.47,86.03,82.07,85.2,90.23,78.11,78.97,63.56,81.74,78.49,75.18,86.93,64.59,75.35,84.79,89.05,93.77,91.16,95.54,92.39,92.48,62.86,76.33,76.89,75.88,86.39,71.0,76.17,42.47,0.492,0.205,59.924,0.76,0.99,21.309,25.707,0.698,0.462,1.679,0.364,23.779,2.664,0.178,0.52
E08000034,Kirklees,E01011033,Kirklees 012A,150000,55.77,74.74,65.54,70.69,75.76,76.64,73.88,68.92,90.57,81.97,88.83,87.49,79.13,80.01,62.32,81.85,74.06,73.77,80.35,64.11,72.89,84.6,91.18,92.41,91.42,94.98,92.39,92.49,62.08,79.05,71.08,73.6,78.77,71.55,73.98,27.625,0.364,0.161,29.9,0.347,0.391,17.134,31.243,0.549,0.146,0.315,0.328,26.008,1.342,0.592,0.007
